nohup: ignoring input
================================================================================
[INFO] -- Experiment Configs --
        training
           lr:           0.0100
         seed:           1
       epochs:           1000
       method:           mlqp2
hidden number:           256
================================================================================
[INFO]: the plt save address is ./model=mlqp2_lr=0.01_seed=1_hidden_num=256
cuda
[INFO] -- MLQP2 INIT --
Epoch : 158, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 159, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 160, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 161, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 162, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 163, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 164, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 165, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 166, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 167, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 168, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 169, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 170, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 171, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 172, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 173, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 174, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 175, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 176, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 177, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 178, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 179, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 180, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 181, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 182, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 183, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 184, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 185, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 186, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 187, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 188, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 189, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 190, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 191, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 192, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 193, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 194, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 195, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 196, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 197, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 198, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 199, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 200, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 201, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 202, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 203, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 204, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 205, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 206, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 207, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 208, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 209, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 210, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 211, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 212, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 213, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 214, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 215, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 216, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 217, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 218, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 219, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 220, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 221, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 222, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 223, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 224, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 225, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 226, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 227, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 228, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 229, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 230, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 231, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 232, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 233, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 234, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 235, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 236, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
